Minerio de Niobio
Minerio de Cobre
Argila Arenosa
Carvao Mineral Camada Barro Branco
Bauxita Grau Metalurgico
Rocha Fosfatica
Minerio de Zinco
Minerio de Cobre
Minerio de Ferro
Minerio de Niquel
Minerio de Ouro Primario
Minerio de Ferro
Minerio de Ferro
Calcario Dolomitico
Argila Arenosa
Saibro
Argila Arenosa
Itabirito
Minerio de Estanho Secundario
Fosfato
Sais
Calcario
Carvao Mineral
Granito
Minerio de Cobre
Minerio de Manganes
Fosfato
Xisto
Minerio de Ferro
Areia e Cascalho
Filito
Minerio de Ferro
Minerio de Ferro
Hematita
Minerio de Ferro
Sedimento
Minerio de Ferro
Silvanita
Minerio de Ferro
Minerio de Ferro
Sedimento
Minerio de Ferro
Minerio de Cobre
Minerio de Cromo
Argila
Serpentinito
Areia Quartzosa
Minerio de Ferro
Aluviao Estanifero
Areia
Caulim
Minerio de Ferro
Argila Arenosa
Minerio de Estanho Primario
Granulito Gnaisse
Argila
Areia e Cascalho
Minerio de Ferro
Sedimento
Minerio de Ferro
Argila Refrataria
Areia
Agalmatolito
Sedimento
Minerio de Ferro
Rocha Carbonatica
Bauxita Grau Nao Metalurgico
Minerio de Manganes
Argila Arenosa
Minerio de Ferro
Minerio de Ferro
Cromita
Argila Arenosa
Argila
Fluorita
Bentonita
Rocha Diamantifera
Minerio de Ferro
Minerio de Ferro
Argila
Minerio de Ferro
Minerio de Ferro
Fosfato
Arenito
Pegmatito
Argila Arenosa
Minerio de Ferro
Areia
Minerio de Ferro
Minerio de Ferro
Minerio de Ouro Primario
Calcario Dolomitico
Minerio de Ouro Secundario
Minerio de Ferro
Minerio de Ferro
Minerio de Ferro
Minerio de Ouro Primario
Argila
Minerio de Ferro
Argila
Caulim
Minerio de Ferro
Minerio de Ferro
Argila
Aluviao Estanifero
Caulim
Xisto
Minerio de Ferro
Minerio de Ferro
Minerio de Ouro Primario
Minerio de Ferro
Minerio de Estanho Primario
Areia
Areia
Argila Arenosa
Dolomito
Bauxita Grau Nao Metalurgico
Minerio de Ferro
Minerio de Niquel
Bauxita Grau Metalurgico
Argila Caulinitica
Cascalho
Minerio de Ferro
Areia
Minerio de Ferro
Minerio de Estanho Primario
Minerio de Ouro Primario
Rocha Aurifera
Rocha Aurifera
Minerio com Gemas
Areia Industrial
Caulim
Minerio de Vanadio
Cascalho
Minerio de Ouro Primario
Minerio de Ferro
Magnesita
Minerio de Niquel
Minerio de Ouro Primario
Minerio de Ouro Primario
Quartzito
Aluviao Estanifero
Vermiculita
Minerio de Ouro Primario
Aluviao Aurifero
Sedimento
Argila
Minerio de Ferro
Minerio de Ouro Primario
Carvao Mineral Camada Bonito
Cromita
Sedimento
Minerio de Ferro
Minerio de Manganes
Fosfato
Argila
Minerio de Ferro
Minerio de Cobre
Areia
Aluviao com Gemas
Argila
Minerio de Ouro Primario
Minerio de Ferro
Minerio de Ouro Primario
Minerio de Ferro
Minerio de Cobre
Minerio de Estanho Primario
Minerio de Ferro
Rocha Aurifera
Argila
Minerio de Ferro
Minerio de Ferro
Rocha Aurifera
Fosfato
